,,,text,label,prediction,drugs_predicted
1,,,Tell us how AVEENO® ECZEMA THERAPY has been a help to you. #sponsored #AveenoAdvocates http://t.co/4z5CWaAM7C,1,0,
6,,,Mirtazapine (remeron) is completely destroying my sex drive. Any advice? Or is this just part and parcel.,1,0,"[['mirtazapine'], ['remeron']]"
8,1,,"RT @blogger4fun2011: Tylenol #HowWeFamily #IC #ad It's not about who you love, but how.How We Family Video https://t.co/20v61y9tFZ",1,0,[['tylenol']]
11,,1,Keep hearing the sound of the crash every time I close my eyes #nosleep #help #zzzquil?,1,0,
14,,,"@Doe_92 oh that's good, good luck! Myself ill dose off on atarax because this day is a nightmare and i can't breath anymore",1,0,[['atarax']]
28,1,,Our Sex be my Tylenol 💏😍❤,1,0,[['tylenol']]
35,,,@JLSCX @onlyanumber Hydrocolloid bandages FTW,1,0,
56,,,Ahh The Best Vitiamn A Christine can take is to B1......xoxo-vitiamins~ https://t.co/AAVNZ4Jtel #pray #prayer https://t.co/MJdhRG87fe,1,0,
93,,,"@KennedyLucy Fizzy Vitamin C and zinc (in the same tablet, like). Take LOADS! 3 or 4 in one go.  Repeat every 5 hours. Good luck 😘😘😘😘",1,0,
100,,,"||why are cold medicine liqui-gels so huge, they were so difficult to swallow ; n ;",1,0,
117,1,,Advair Safety on Par With Monotherapy for Kids With Asthma (CME/CE) https://t.co/HEpOdemAbs #Parenting,1,0,
139,1,,#freestuffOC Welbutrine (Buproprion) Wanted: 150mg or 300mg Have Cash Text show contact info https://t.co/AxFVVT6Iz4,1,0,
148,1,,"Woman in boots: ""now be careful with Otrivine as it's a highly addictive decongestant....""2 years too late hen!",1,0,
156,1,,Police save Maine dog with Narcan after it ate 25 opioids: A quick thinking officer from… https://t.co/rQg6F5HsOY,1,0,[['narcan']]
199,,,On another high note I finished my clomid yesterday! 😏👶,1,0,[['clomid']]
211,,1,"Bayer, J&amp;J in frame for bigger anti-clotting market opportunity https://t.co/PtPH9jwohm",1,0,
235,,1,FDA Alert: Products Containing Belladonna Extract by Raritan Pharmaceuticals: Recall - Possible Belladonna Alkaloids https://t.co/U4lLS6Ljln,1,0,
246,,,LMFAOOOOOOOOOOOOO @slatt3rn @yesjayme It's true. Twitter Trump memes could single-handedly RUIN the  benzodiazepine market. https://t.co/CuWJyAkHYe,1,0,
264,1,,Vlog 402 Can You Get Pregnant on the NuvaRing? #BirthControl #FamilyVlogs https://t.co/ZvgRiRypuV,1,0,[['nuvaring']]
269,,1,"@Gawge0us Micro Ingredients Organic Maca Powder, 1lb, Gelatinized, Non-GMO, for Enhanced Bioavailability https://t.co/n1DIUiuU0x",1,0,
280,1,,I like Lyrica,1,0,[['lyrica']]
