,tweet_id,user_id,text,created_at,label,Drug Name Extracted,Drug Name Normalized,txt_tokenized,txt_tagged,prediction,pattern_matching,,,,,,,,,,,,,,
69,8.65493E+17,544927927,We need 90 mg of vitamin C per day. The best way to get this is by eating fresh fruit and vegetables every day. #vitaminc #vegetables #fruit,5/19/2017 9:02,0,,,"['we', 'need', '90', 'mg', 'of', 'vitamin', 'c', 'per', 'day', '.', 'the', 'best', 'way', 'to', 'get', 'this', 'is', 'by', 'eating', 'fresh', 'fruit', 'and', 'vegetables', 'every', 'day', '.', '#vitaminc', '#vegetables', '#fruit']","['we', 'need', '90', 'mg', 'of', 'vitamin', 'c', 'per', 'day', '.', 'the', 'best', 'way', 'to', 'get', 'this', 'is', 'by', 'eating', 'fresh', 'fruit', 'and', 'vegetables', 'every', 'day', '.', '#vitaminc', '#vegetables', '#fruit']",1,(<mg>|<milligram>|<g>|<gram>|<application>),,,,,,,,,,,,,,1
75,5.22125E+17,288962301,RT @NJAllergyDoctor: Researchers have found about 500 milligrams (mg) of #vitaminC a day can ease #allergy symptoms &amp; just 1C of raw brocco…,10/14/2014 20:41,0,,,"['rt', '@njallergydoctor', ':', 'researchers', 'have', 'found', 'about', '500', 'milligrams', '(', 'mg', ')', 'of', '#vitaminc', 'a', 'day', 'can', 'ease', '#allergy', 'symptoms', '&', 'just', '1c', 'of', 'raw', 'brocco', '…']","['rt', '@njallergydoctor', ':', 'researchers', 'have', 'found', 'about', '500', 'milligrams', '(', 'mg', ')', 'of', '#vitaminc', 'a', 'day', 'can', 'ease', '#allergy', 'symptoms', '&', 'just', '1c', 'of', 'raw', 'brocco', '…']",1,(<mg>|<milligram>|<g>|<gram>|<application>),,,,,,,,,,,,,,1
99,8.70678E+17,2718746888,"&lt; don't let the bad guys get away with hurtin' girls. I had to do something, Mama.""Taking a deep, calming breath, Alli sighed, stopping &gt;",6/2/2017 16:27,0,,,"['<', ""don't"", 'let', 'the', 'bad', 'guys', 'get', 'away', 'with', 'hurtin', ""'"", 'girls', '.', 'i', 'had', 'to', 'do', 'something', ',', 'mama', '.', '""', 'taking', 'a', 'deep', ',', 'calming', 'breath', ',', 'alli', 'sighed', ',', 'stopping', '>']","['<', ""don't"", 'let', 'the', 'bad', 'guys', 'get', 'away', 'with', 'hurtin', ""'"", 'girls', '.', 'i', 'had', 'to', 'do', 'something', ',', 'mama', '.', '""', 'taking', 'a', 'deep', ',', 'calming', 'breath', ',', '__@DRUG@__', 'sighed', ',', 'stopping', '>']",1,(<with>|<for>) <.*>* <__@DRUG@__> --- (<taking>|<taken>|<took>) <.*>* <__@DRUG@__> --- (<with>|<a>|<my>|<on>) <.*>* <__@DRUG@__>,,,,,,,,,,,,,,2
222,8.8483E+17,339453797,RT @UncleMatts: Our Organic Orange Turmeric contains 500 mg. of @MegaFood farm fresh organic turmeric per 8 oz. serving! #DrinkUncleMatts,7/11/2017 17:42,0,,,"['rt', '@unclematts', ':', 'our', 'organic', 'orange', 'turmeric', 'contains', '500', 'mg', '.', 'of', '@megafood', 'farm', 'fresh', 'organic', 'turmeric', 'per', '8', 'oz', '.', 'serving', '!', '#drinkunclematts']","['rt', '@unclematts', ':', 'our', 'organic', 'orange', 'turmeric', 'contains', '500', 'mg', '.', 'of', '@megafood', 'farm', 'fresh', 'organic', 'turmeric', 'per', '8', 'oz', '.', 'serving', '!', '#drinkunclematts']",1,(<mg>|<milligram>|<g>|<gram>|<application>),,,,,,,,,,,,,,1
309,6.76208E+17,266307787,I just drank 250 mg of caffeine. A normal cup 80. I feel FANTASTIC #DoItForTheGPA,12/14/2015 1:12,0,,,"['i', 'just', 'drank', '250', 'mg', 'of', 'caffeine', '.', 'a', 'normal', 'cup', '80', '.', 'i', 'feel', 'fantastic', '#doitforthegpa']","['i', 'just', 'drank', '250', 'mg', 'of', 'caffeine', '.', 'a', 'normal', 'cup', '80', '.', 'i', 'feel', 'fantastic', '#doitforthegpa']",1,(<mg>|<milligram>|<g>|<gram>|<application>),,,,,,,,,,,,,,1
314,3.29263E+17,232157095,Heart Crystal Silver Nail Ring from @bornprettystore review is up on my blog today http://t.co/DwRr70eZ8U #fblogger #bblogger #nails #bps,4/30/2013 15:57,0,,,"['heart', 'crystal', 'silver', 'nail', 'ring', 'from', '@bornprettystore', 'review', 'is', 'up', 'on', 'my', 'blog', 'today', 'http://t.co/dwrr70ez8u', '#fblogger', '#bblogger', '#nails', '#bps']","['heart', 'crystal', 'silver', 'nail', 'ring', 'from', '@bornprettystore', 'review', 'is', 'up', 'on', 'my', 'blog', '__@DRUG@__', 'http://t.co/dwrr70ez8u', '#fblogger', '#bblogger', '#nails', '#bps']",1,(<with>|<a>|<my>|<on>) <.*>* <__@DRUG@__>,,,,,,,,,,,,,,3
494,8.26605E+17,291443457,"RT @JoelOsteen: God wants you to be an example of His goodness. So everywhere you go, you don’t have to say anything; your life is a testim…",2/1/2017 1:36,0,,,"['rt', '@joelosteen', ':', 'god', 'wants', 'you', 'to', 'be', 'an', 'example', 'of', 'his', 'goodness', '.', 'so', 'everywhere', 'you', 'go', ',', 'you', 'don', '’', 't', 'have', 'to', 'say', 'anything', ';', 'your', 'life', 'is', 'a', 'testim', '…']","['rt', '@joelosteen', ':', 'god', 'wants', 'you', 'to', 'be', 'an', 'example', 'of', 'his', 'goodness', '.', 'so', 'everywhere', 'you', 'go', ',', 'you', 'don', '’', 't', 'have', 'to', 'say', 'anything', ';', 'your', 'life', 'is', 'a', '__@DRUG@__', '…']",1,(<with>|<a>|<my>|<on>) <.*>* <__@DRUG@__>,,,,,,,,,,,,,,3
517,6.95642E+17,531667401,RT @Funny_Truth: Bananas can reduce the swelling and irritation of mosquito bites and help with nicotine withdrawal.,2/5/2016 16:14,0,,,"['rt', '@funny_truth', ':', 'bananas', 'can', 'reduce', 'the', 'swelling', 'and', 'irritation', 'of', 'mosquito', 'bites', 'and', 'help', 'with', 'nicotine', 'withdrawal', '.']","['rt', '@funny_truth', ':', 'bananas', 'can', 'reduce', 'the', 'swelling', 'and', 'irritation', 'of', 'mosquito', 'bites', 'and', 'help', 'with', '__@DRUG@__', 'withdrawal', '.']",1,(<with>|<for>) <.*>* <__@DRUG@__> --- (<with>|<a>|<my>|<on>) <.*>* <__@DRUG@__>,,,,,,,,,,,,,,4
670,8.29904E+17,2218769562,"I liked a @YouTube video from @azaeproduction https://t.co/hKteLAqF2O Montana Of 300 x TO3 x $avage x No Fatigue ""FGE CYPHER Pt 3""",2/10/2017 4:04,0,,,"['i', 'liked', 'a', '@youtube', 'video', 'from', '@azaeproduction', 'https://t.co/hktelaqf2o', 'montana', 'of', '300', 'x', 'to3', 'x', '$', 'avage', 'x', 'no', 'fatigue', '""', 'fge', 'cypher', 'pt', '3', '""']","['i', 'liked', 'a', '@youtube', 'video', 'from', '@azaeproduction', 'https://t.co/hktelaqf2o', 'montana', 'of', '300', 'x', 'to3', 'x', '$', '__@DRUG@__', 'x', 'no', 'fatigue', '""', 'fge', 'cypher', 'pt', '3', '""']",1,<\d+> <.*>* <__@DRUG@__> --- (<with>|<a>|<my>|<on>) <.*>* <__@DRUG@__>,,,,,,,,,,,,,,2
783,8.02702E+17,2691812864,RT @chaewonho: I can't believe last night I was on buzzfeed and today I'm on allkpop what the fuSKX LMAO IM https://t.co/TDWiT9E3E4,11/27/2016 2:33,0,,,"['rt', '@chaewonho', ':', 'i', ""can't"", 'believe', 'last', 'night', 'i', 'was', 'on', 'buzzfeed', 'and', 'today', ""i'm"", 'on', 'allkpop', 'what', 'the', 'fuskx', 'lmao', 'im', 'https://t.co/tdwit9e3e4']","['rt', '@chaewonho', ':', 'i', ""can't"", 'believe', 'last', 'night', 'i', 'was', 'on', 'buzzfeed', 'and', '__@DRUG@__', ""i'm"", 'on', 'allkpop', 'what', 'the', 'fuskx', 'lmao', 'im', 'https://t.co/tdwit9e3e4']",1,(<with>|<a>|<my>|<on>) <.*>* <__@DRUG@__>,,,,,,,,,,,,,,4
