,text,label,prediction,drugs_predicted
5,"Soon no more BET, MTV, VH1, Nickelodeon, CMT, ComedyCentral for suddenlink folks ! 😤😤 tf we gon watch ?",0,1,
15,@BabyTacoXO ago and you still have no recollection of it 🙃 which is why I'll stick to what doc prescribed me.,0,1,
17,"A heavy day it has been,  had to take some load off and think of easy times.  #runriot #10KMaday https://t.co/eLY1yUKdQX",0,1,
23,"I am post-hysterectomy. Full. Surgical menopause. My disease is/was so severe I have permanent nerve damage, scarring &amp; autoimmune+",0,1,
36,Had a dream last night that I was on an adventure with Andy Bernard and Tyrion Lannister...,0,1,
40,The medication my doc prescribed me worked a miracle bc my allergies have been killing me for a week and now I'm all better 😭 praise 👐👐👐,0,1,
76,"If you have an itch on your tongue, what's the most effective way to get rid of that? I prefer the rub your tongue on your teeth method.",0,1,
81,"'Hi, post for me and hide my id..got married 4 months ago..in august i missed my pees so i took some preg tests... http://t.co/aJqzW0bEs5",0,1,
85,"Had areas of really sore, scaly, blister type  redness. It just doesn't heal and feels constantly angry! GP prescribed me some cream but it",0,1,
86,@RobSteelDCHS @DerbyHospitals Iv experienced similar;111 call handler wasn't sure if staff on duty at MIUs would be able to suture my wound!,0,1,
112,I'm not gonna be able to take my lotions😩,0,1,
113,Can't wait to share with you all this beauty regimen I have been using with the #neutrogena visibly… http://t.co/1eAFTrgurB,0,1,
118,"@Angelgoodd is that a prescription? Bcc they prescribed me something, I just can't get it bcc I'm not about to pay out of pocket",0,1,
135,I was wondering if anyone has been prescribed medical Marijuana for pain and if so has it helped?  Also if any... https://t.co/e4G4FT6DRq,0,1,
170,"RT @Luke5SOS: I can't sleep, petunia is snoring",0,1,
176,"If left unchecked, global change feels like the practicality of it all. -Percy Bysshe Shelley",0,1,
181,Please help. 5 years of synthetic cannabinoid-induced (neuropathic) chest pain. Made worse by cannabis/LSD. via /r… https://t.co/HSaPYIHcAZ,0,1,
197,Does anyone have the little paper on how to do verification for finiancial aid,0,1,
201,Doctor prescribed me LSD for my constipation : Thought it was a strange until on the way home i saw a dragon and shit myself,0,1,
202,Frequent nasal congestion/heart burns isn't helping too. I also can't burp lying down and have to specially get up just to burp.,0,1,
219,@Tamsw9 yes its fondant. Just took a bit of practice and time to get them right. But lucky it's looking ok now 😂,0,1,
231,Legs are itchy today..Don't see any bug bites though..Time to rub on the Aveeno.,0,1,[['today']]
240,so far the inhaler isn't helping :\ I may end up waking my mom up to bring me somewhere,0,1,
265,"Court Jester aims for ""Wit,"" as snark caroms off and wit leaves an itchy, permanent, subdermal lozenge of truth. But thank you. https://t.co/zHVAsIE8Fb",0,1,
272,@tv6tnt teacher Percy say if u tell ah lie yuh going to hell as soon as yuh die...da da da *dances to vintage kaiso*,0,1,
278,My chest feels like it's gonna collapse.,0,1,
305,I work such long hours that the guys in the office joke that I took a half day off by leaving @ 7pm #workhard,0,1,
308,Info: #Medicinal #mushrooms have #polysaccharides n other beneficial compounds that can increase ur immune system: https://t.co/kFFUUK6u6K,0,1,
330,You think I just be up at 4 in the morning? I live in the murda but I ain't no tweaker. Boyy https://t.co/0BapdFbysA,0,1,
334,lol my doctor prescribed me some tabs &amp;' iain even know it . 😂,0,1,
344,#AromatherapyTipOfTheDay Topical use of the oil of geranium can be a fabulous choice for pain management. #Aromatherapy #EssentialOils,0,1,
356,Pussy put his ass to sleep now he callin me NyQuil... 😼,0,1,
362,Probably start my we!ester next week .,0,1,
363,They played the Macarena in the club... and I thought of maca reina 🤦🏾‍♀️,0,1,
365,@zee_ki_el I'm dead fucking serious. Me and my two sisters hair has grown a lot from taking them. Also MSM &amp; sulfur pills help as well.,0,1,
