,,error,tweet_id,user_id,text,created_at,label,Drug Name Extracted,Drug Name Normalized,prediction,drugs_predicted,,,,,,
,790,1,8.34433E+17,295448855,"pt.1 so there was a recall on baby oragel. of course that would happen when my poor baby is teething..anyway,so i asked the pharmacist @ HEB",2/22/2017 16:00,1,baby oragel,baby orajel,0,error 1,misspelling of letter,,,,,
,381,1,7.75852E+17,1362646914,novacane for the pain,9/14/2016 0:23,1,novacane,novocain,0,1,,,,,,
,488,1,6.01639E+17,316939338,@Amecha_02 you was fulla that nyquill,5/22/2015 6:41,1,nyquill,nyquil,0,,,,,,,
,213,1,5.74071E+17,62254872,Rell talking about lets go out bitch I just popped a benedryl ima fall asleep in the bar,3/7/2015 4:54,1,benedryl,benadryl,0,,,,,,,
,142,1,7.14473E+17,1908290126,Doctors appointment at 10 to check on things. Gonna cuss them out and tell them the percoset made it a million times worse,3/28/2016 15:24,1,percoset,percocet,0,,,,,,,
,695,1,6.24286E+17,280329066,,7/23/2015 18:32,1,maderma,maderma,0,,,,,,,
,555,1,2.9802E+17,19742985,@GaynorPaul hmmm that makes little sense. Omeprazol?,2/3/2013 10:48,1,Omeprazol,Omeprazole,0,,,,,,,
,819,1,6.74573E+17,20422177,I'm soooo nauseous from the cytoxin treatment yesterday. I curled up on the couch and Princess… https://t.co/Fs4iAEjsYG,12/9/2015 12:54,1,cytoxin,Cytoxan,0,,,,,,,unclear why false negative
,341,1,5.39313E+17,287416804,RT @BobbyWalls7: @nicolebouleyx0 lol you need the strongest dose of adderal lol,12/1/2014 6:59,1,adderal,Adderall,0,,,,,,,
10,539,1,7.0596E+17,463376667,Fckin prescription is $805😐 they must've prescribed me anesthetics..🤔,3/5/2016 3:35,1,anestetics,anesthetics,0,,,,,,,
14,867,2,4.83338E+17,854977730,My doctor seriously prescribed me hydros for my headache ... Seriously? 😑,6/29/2014 19:57,1,hydros,hydrocodone,0,error2,cannot match alternate forms of drug,,,,,
,829,2,7.12355E+17,3285650641,they prescribed me percs but I hate how they make me feel,3/22/2016 19:06,1,percs,percocet,0,,,,,,,
,188,2,7.9272E+17,215336863,https://t.co/Q45ejwZmsO Sanofi agree 40% risk to baby when valproate taken in pregnancy. UK Epilim cases didn't get into court.JUSTICE?,10/30/2016 13:28,1,valporate; epilim,valproate; epilim,0,,,,,,,
,746,2,8.91045E+17,145255385,RT @Hookzilla: If he popped a Xan you wouldn't care https://t.co/YPBw7ajTwe,7/28/2017 21:15,1,xan,xanax,0,,,,,,,
,782,2,5.92206E+17,455471496,"@Probinsky not working. Drank medicine, water, even put vicks on 😂😩😭",4/26/2015 5:56,1,vicks,vicks vaporub,0,,,,,,,
,612,2,4.06766E+17,260901346,@kellsiehalstead well hopefully you get something!! They told me I could take dramamine and couple other things! Who is your doctor,11/30/2013 12:45,1,dramamine,dramamine,0,,,,,,,
,342,2,8.96595E+17,176899971,"@ImaLuckyLibra_ I never do , they even prescribed me sleeping pills and that don't work",8/13/2017 4:52,1,sleeping pills,sleeping pills,0,,,,,,,
