,tweet_id,user_id,text,created_at,label,Drug Name Extracted,Drug Name Normalized,txt_tokenized,txt_tagged,prediction,pattern_matching
780,577727703723352064,81154975,"I took 2 Benedryl awhile ago, that usually knocks me right out. I think finally being able to take a deep breath woke me up.",2015-03-17 07:06:32,1,benedryl,benadryl,"['i', 'took', '2', 'benedryl', 'awhile', 'ago', ',', 'that', 'usually', 'knocks', 'me', 'right', 'out', '.', 'i', 'think', 'finally', 'being', 'able', 'to', 'take', 'a', 'deep', 'breath', 'woke', 'me', 'up', '.']","['i', 'took', '2', 'benedryl', 'awhile', 'ago', ',', 'that', 'usually', 'knocks', 'me', 'right', 'out', '.', 'i', 'think', 'finally', 'being', 'able', 'to', 'take', 'a', 'deep', 'breath', 'woke', 'me', 'up', '.']",0,
127,872462742657142784,79282617,@FancyFour b vitamins are your friend. I used to get b12 shots. Ahhhhmazing.,2017-06-07 14:38:22,1,b12 shots,b12 shots,"['@fancyfour', 'b', 'vitamins', 'are', 'your', 'friend', '.', 'i', 'used', 'to', 'get', 'b12', 'shots', '.', 'ahhhhmazing', '.']","['@fancyfour', 'b', 'vitamins', 'are', 'your', 'friend', '.', 'i', 'used', 'to', 'get', 'b12', 'shots', '.', 'ahhhhmazing', '.']",0,
470,851998226190221313,40777000,omg no puede ser my asthma is back at regular tedious force. I have to go backon beclomethasone,2017-04-12 03:19:41,1,beclomethasone,beclomethasone,"['omg', 'no', 'puede', 'ser', 'my', 'asthma', 'is', 'back', 'at', 'regular', 'tedious', 'force', '.', 'i', 'have', 'to', 'go', 'backon', 'beclomethasone']","['omg', 'no', 'puede', 'ser', 'my', 'asthma', 'is', 'back', 'at', 'regular', 'tedious', 'force', '.', 'i', 'have', 'to', 'go', 'backon', 'beclomethasone']",0,
720,872448011351330816,463331339,I was placed on an antibiotic by my dentist for 10 days. My question is am I supposed to stop taking methotrexate... https://t.co/0GwyMIhDMj,2017-06-07 13:39:49,1,antibiotic; methotrexate,antibiotic; methotrexate,"['i', 'was', 'placed', 'on', 'an', 'antibiotic', 'by', 'my', 'dentist', 'for', '10', 'days', '.', 'my', 'question', 'is', 'am', 'i', 'supposed', 'to', 'stop', 'taking', 'methotrexate', '...', 'https://t.co/0gwymihdmj']","['i', 'was', 'placed', 'on', 'an', 'antibiotic', 'by', 'my', 'dentist', 'for', '10', 'days', '.', 'my', 'question', 'is', 'am', 'i', 'supposed', 'to', 'stop', 'taking', 'methotrexate', '...', 'https://t.co/0gwymihdmj']",0,
369,899482522551287808,2174621851,Patiently Waiting On This NyQuil To Kick In !,2017-08-21 04:05:19,1,nyquil,nyquil,"['patiently', 'waiting', 'on', 'this', 'nyquil', 'to', 'kick', 'in', '!']","['patiently', 'waiting', 'on', 'this', 'nyquil', 'to', 'kick', 'in', '!']",0,
419,753236458622726144,231104880,That Dragonfly Stuff all natural arnica productshttps://t.co/7ndvXrsAM2#naturalpainrelief #arthritis... https://t.co/QnrJ42kyiZ,2016-07-13 14:35:40,1,that dragonfly stuff; arnica,that dragonfly stuff; arnica,"['that', 'dragonfly', 'stuff', 'all', 'natural', 'arnica', 'productshttps', ':/', '/', 't.co/7ndvxrsam2#naturalpainrelief', '#arthritis', '...', 'https://t.co/qnrj42kyiz']","['that', 'dragonfly', 'stuff', 'all', 'natural', 'arnica', 'productshttps', ':/', '/', 't.co/7ndvxrsam2#naturalpainrelief', '#arthritis', '...', 'https://t.co/qnrj42kyiz']",0,
851,667933426947784704,218991632,RT @AdderallHadMe: Adderall had me riding my bike on the ceiling https://t.co/uhy2Cf8lU3,2015-11-21 05:11:53,1,adderall,adderall,"['rt', '@adderallhadme', ':', 'adderall', 'had', 'me', 'riding', 'my', 'bike', 'on', 'the', 'ceiling', 'https://t.co/uhy2cf8lu3']","['rt', '@adderallhadme', ':', 'adderall', 'had', 'me', 'riding', 'my', 'bike', 'on', 'the', 'ceiling', 'https://t.co/uhy2cf8lu3']",0,
93,904709676637593600,526425773,"@KennedyLucy Fizzy Vitamin C and zinc (in the same tablet, like). Take LOADS! 3 or 4 in one go.  Repeat every 5 hours. Good luck 😘😘😘😘",2017-09-04 14:16:10,1,fizzy vitamin c and zinc,Fizzy vitamin C and zinc,"['@kennedylucy', 'fizzy', 'vitamin', 'c', 'and', 'zinc', '(', 'in', 'the', 'same', 'tablet', ',', 'like', ')', '.', 'take', 'loads', '!', '3', 'or', '4', 'in', 'one', 'go', '.', 'repeat', 'every', '5', 'hours', '.', 'good', 'luck', '😘', '😘', '😘']","['@kennedylucy', 'fizzy', 'vitamin', 'c', 'and', 'zinc', '(', 'in', 'the', 'same', 'tablet', ',', 'like', ')', '.', 'take', 'loads', '!', '3', 'or', '4', 'in', 'one', 'go', '.', 'repeat', 'every', '5', 'hours', '.', 'good', 'luck', '😘', '😘', '😘']",0,
319,896992185249300480,2856026443,promethazine is giving me a toothache,2017-08-14 07:09:36,1,promethazine,promethazine,"['promethazine', 'is', 'giving', 'me', 'a', 'toothache']","['__@DRUG@__', 'is', 'giving', 'me', 'a', 'toothache']",0,
501,795392902000033792,2613407936,"@synthpopisback I mean, it's mostly steroids. The most interesting thing I got is some sudafed.",2016-11-06 22:30:20,1,steroids; sudafed,steroids; sudafed,"['@synthpopisback', 'i', 'mean', ',', ""it's"", 'mostly', 'steroids', '.', 'the', 'most', 'interesting', 'thing', 'i', 'got', 'is', 'some', 'sudafed', '.']","['@synthpopisback', 'i', 'mean', ',', ""it's"", 'mostly', 'steroids', '.', 'the', 'most', 'interesting', 'thing', 'i', 'got', 'is', 'some', 'sudafed', '.']",0,
